currentTimestep,currentTime,totalTimestepsRun,versions,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
0,0,0,1,30628.52739,6446032.691,1074338.782,7951371.473,45188045.85,5.683050529,5.683050529,5.683050529,5.683050529,5.683050529,63.31871171
1,1,1,1,30628.52739,6419779.667,1069963.278,7920742.945,45467348.83,5.740288398,5.740288398,11.42333893,11.42333893,17.10638946,63.09198819
2,2,2,1,30628.52739,6393526.644,1065587.774,7890114.418,45703564.95,5.792509782,5.792509782,17.21584871,17.21584871,34.32223817,62.90024032
3,3,3,1,30628.52739,6367273.62,1061212.27,7859485.89,45895767.5,5.839538125,5.839538125,23.05538684,23.05538684,57.377625,62.74422035
4,4,4,1,30628.52739,6341020.597,1056836.766,7828857.363,46043329.88,5.881232439,5.881232439,28.93661927,28.93661927,86.31424427,62.62443695
5,5,5,1,30628.52739,6314767.573,1052461.262,7798228.836,46145939.12,5.917489739,5.917489739,34.85410901,34.85410901,121.1683533,62.54114415
6,6,6,1,30628.52739,6288514.55,1048085.758,7767600.308,46203605.27,5.948247005,5.948247005,40.80235602,40.80235602,161.9707093,62.49433378
8,8,8,1,30628.52739,6262261.526,1043710.254,7736971.781,46216666.39,5.97348261,5.97348261,46.77583863,46.77583863,208.7465479,62.48373145
9,9,9,1,30628.52739,6209755.48,1034959.247,7675714.726,46185788.85,5.993217189,5.993217189,52.76905582,52.76905582,261.5156037,62.50879622
10,10,10,1,30628.52739,6183502.456,1030583.743,7645086.199,46111962.97,6.007513908,6.007513908,58.77656972,58.77656972,320.2921735,62.5687242
11,11,11,1,30628.52739,6157249.433,1026208.239,7614457.671,45996494.04,6.016478146,6.016478146,64.79304787,64.79304787,385.0852213,62.66245583
12,12,12,1,30628.52739,6130996.409,1021832.735,7583829.144,45840988.9,6.020256579,6.020256579,70.81330445,70.81330445,455.8985258,62.78868676
13,13,13,1,30628.52739,6104743.386,1017457.231,7553200.617,45647338.26,6.019035687,6.019035687,76.83234014,76.83234014,532.7308659,62.9458822
14,14,14,1,30628.52739,6078490.362,1013081.727,7522572.089,45417695.38,6.013039728,6.013039728,82.84537986,82.84537986,615.5762458,63.13229426
15,15,15,1,30628.52739,6052237.339,1008706.223,7491943.562,45154451.26,6.002528222,6.002528222,88.84790809,88.84790809,704.4241539,63.34598204
16,16,16,1,30628.52739,6025984.315,1004330.719,7461315.034,44860207.23,5.987793002,5.987793002,94.83570109,94.83570109,799.259855,63.58483393
17,17,17,1,30628.52739,5999731.292,999955.2153,7430686.507,44537745.21,5.969154902,5.969154902,100.804856,100.804856,900.064711,63.84659171
18,18,18,1,30628.52739,5973478.268,995579.7114,7400057.98,44189996.58,5.946960155,5.946960155,106.7518161,106.7518161,1006.816527,64.12887583
19,19,19,1,30628.52739,5947225.245,991204.2075,7369429.452,43430919.42,5.893389672,5.893389672,118.5667824,118.5667824,1238.056702,64.7450549
20,20,20,1,30628.52739,5920972.221,986828.7036,7338800.925,43025911.45,5.862798554,5.862798554,124.429581,124.429581,1362.486283,65.07381915
21,21,21,1,30628.52739,5894719.198,982453.1996,7308172.398,42608195.01,5.830212083,5.830212083,130.259793,130.259793,1492.746076,65.41289947
23,23,23,1,30628.52739,5868466.174,978077.6957,7277543.87,42180971.43,5.796044954,5.796044954,136.055838,136.055838,1628.801914,65.7596972
24,24,24,1,30628.52739,5815960.127,969326.6879,7216286.815,41747406.8,5.760714017,5.760714017,141.816552,141.816552,1770.618466,66.11164225
