currentTimestep,currentTime,totalTimestepsRun,versions,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
0,0,0,1,30628.52739,6446032.691,1074338.782,7951371.473,45188045.85,5.683050529,5.683050529,5.683050529,5.683050529,5.683050529,63.31871171
20,20,20,1,30628.52739,5920972.221,986828.7036,7338800.925,43025911.45,5.862798554,5.862798554,124.429581,124.429581,1362.486283,65.07381915
40,40,40,1,30628.52739,5395911.752,899318.6253,6726230.377,36107383.26,5.343811936,5.343811936,229.7296562,229.7296562,4795.884166,70.68991788
60,60,60,1,30628.52739,4870851.282,811808.5471,6113659.829,38928339.54,6.367436303,6.367436303,349.1258774,349.1258774,10349.76236,68.40001336
80,80,80,1,30628.52739,4345790.813,724298.4688,5501089.282,54006065.57,9.817340313,9.817340313,506.9593528,506.9593528,18860.71163,56.16070527
100,100,100,1,30628.52739,3820730.343,636788.3906,4888518.734,70666300.64,14.45556507,14.45556507,751.5776105,751.5776105,31412.46888,42.63679924
120,120,120,1,30628.52739,3295669.874,549278.3123,4275948.186,80328481.35,18.78612131,18.78612131,1085.239712,1085.239712,48034.11251,34.79354714
140,140,140,1,30628.52739,2796862.428,466143.738,3694006.166,86849578.84,23.51094582,23.51094582,1487.849799,1487.849799,72537.79141,29.50006182
160,160,160,1,30628.52739,2245548.935,374258.1558,3050807.091,92954124.09,30.16584982,30.16584982,2024.041858,2024.041858,107702.355,24.5447118
180,180,180,1,30628.52739,1720488.466,286748.0776,2438236.543,99271435.83,40.71444016,40.71444016,2764.962746,2764.962746,157968.3855,19.41664908
200,200,200,1,30628.52739,1221681.02,203613.5033,1856294.523,104980701.5,56.5539036,56.5539036,3683.326565,3683.326565,210586.4579,14.78216632
220,220,220,1,30628.52739,670367.5266,111727.9211,1213095.448,110990065.3,89.24011074,89.24011074,5114.320823,5114.320823,298187.0555,9.904079634
240,240,240,1,30628.52739,145307.0571,24217.84285,600524.8999,117299850.6,195.3288709,195.3288709,7890.358776,7890.358776,432299.6569,4.782126432
